Risk ID,Risk Title,Risk Description,Category,Department,Risk Owner,Date Identified,Likelihood,Impact,Inherent Risk Score,Inherent Risk Level,Existing Controls,Control Effectiveness Label,Control Effectiveness Score,Residual Risk Score,Residual Risk Level,Treatment Plan,Target Date,Status,KRI,Notes
ERM-0031,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Procurement,Operations Manager,7/11/23,3,4,12,High,Standard internal controls in place,Strong,0.75,3,Low,Transfer,3/10/26,Under Review,36 incidents/month, dataset
ERM-0032,Phishing Attack, Risk related to phishing attack,Cyber Risk,Compliance,Operations Manager,7/14/26,1,4,4,Low,Standard internal controls in place,Strong,0.75,1,Low,Transfer,1/14/26,Closed,2 incidents/month, dataset
ERM-0033,Human Error, Risk related to human error,Operational Risk,Procurement,HR Manager,11/17/26,4,1,4,Low,Standard internal controls in place,Strong,0.75,1,Low,Avoid,8/27/23,Closed,38 incidents/month, dataset
ERM-0034,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Operations,HR Manager,8/9/25,5,3,15,Extreme,Standard internal controls in place,Moderate,0.5,7.5,Moderate,Accept,11/1/25,Closed,41 incidents/month, dataset
ERM-0035,Market Competition, Risk related to market competition,Strategic Risk,Operations,Internal Auditor,1/12/24,3,2,6,Moderate,Standard internal controls in place,Strong,0.75,1.5,Low,Accept,2/3/26,Under Review,0 incidents/month, dataset
ERM-0036,Negative Publicity, Risk related to negative publicity,Reputational Risk,Strategy,Director Finance,2/19/26,4,1,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Transfer,7/20/25,Mitigated,27 incidents/month, dataset
ERM-0037,Process Failure, Risk related to process failure,Operational Risk,ICT,Operations Manager,2/14/25,2,5,10,High,Standard internal controls in place,Weak,0.25,7.5,Moderate,Avoid,1/30/26,Mitigated,4 incidents/month, dataset
ERM-0038,Negative Publicity, Risk related to negative publicity,Reputational Risk,HR,Head of ICT,8/24/25,2,5,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Reduce,3/16/24,Mitigated,3 incidents/month, dataset
ERM-0039,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Compliance,Compliance Officer,12/12/26,2,3,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Transfer,3/26/24,Mitigated,37 incidents/month, dataset
ERM-0040,Customer Complaints, Risk related to customer complaints,Reputational Risk,Finance,HR Manager,4/9/26,3,4,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Reduce,8/12/23,Mitigated,30 incidents/month, dataset
ERM-0041,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Compliance,Director Finance,3/20/26,4,3,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Avoid,8/7/26,Mitigated,39 incidents/month, dataset
ERM-0042,Data Breach, Risk related to data breach,Cyber Risk,Internal Audit,HR Manager,9/18/23,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Avoid,3/26/25,Under Review,45 incidents/month, dataset
ERM-0043,Data Breach, Risk related to data breach,Cyber Risk,Internal Audit,Compliance Officer,2/26/23,5,3,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Avoid,9/6/25,Open,6 incidents/month, dataset
ERM-0044,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,Operations Manager,4/8/24,3,2,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Accept,11/9/26,Mitigated,21 incidents/month, dataset
ERM-0045,Market Competition, Risk related to market competition,Strategic Risk,Procurement,Director Finance,10/13/25,4,4,16,Extreme,Standard internal controls in place,Moderate,0.5,8,Moderate,Accept,2/18/24,Open,30 incidents/month, dataset
ERM-0046,System Hacking, Risk related to system hacking,Cyber Risk,Finance,HR Manager,10/7/25,4,1,4,Low,Standard internal controls in place,Strong,0.75,1,Low,Reduce,7/6/26,Mitigated,25 incidents/month, dataset
ERM-0047,Negative Publicity, Risk related to negative publicity,Reputational Risk,ICT,HR Manager,12/3/23,2,4,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Accept,5/20/25,Open,4 incidents/month, dataset
ERM-0048,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Strategy,Operations Manager,3/25/26,3,4,12,High,Standard internal controls in place,Strong,0.75,3,Low,Transfer,11/29/23,Mitigated,18 incidents/month, dataset
ERM-0049,Customer Complaints, Risk related to customer complaints,Reputational Risk,ICT,Head of ICT,7/10/26,5,3,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Transfer,2/8/24,Mitigated,22 incidents/month, dataset
ERM-0050,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Strategy,HR Manager,1/17/26,5,5,25,Extreme,Standard internal controls in place,Very Strong,0.9,2.5,Low,Accept,10/20/23,Mitigated,48 incidents/month, dataset
ERM-0051,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Operations,Head of ICT,8/27/26,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Accept,10/16/23,Under Review,40 incidents/month, dataset
ERM-0052,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Operations,Internal Auditor,12/19/26,5,1,5,Moderate,Standard internal controls in place,Very Strong,0.9,0.5,Low,Avoid,7/21/25,Mitigated,20 incidents/month, dataset
ERM-0053,Customer Complaints, Risk related to customer complaints,Reputational Risk,Compliance,Director Finance,8/7/25,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Accept,4/30/26,Under Review,16 incidents/month, dataset
ERM-0054,Process Failure, Risk related to process failure,Operational Risk,Procurement,Head of ICT,9/11/23,5,5,25,Extreme,Standard internal controls in place,Strong,0.75,6.25,Moderate,Reduce,9/13/25,Under Review,27 incidents/month, dataset
ERM-0055,Service Failure, Risk related to service failure,Reputational Risk,Compliance,HR Manager,6/13/24,3,2,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Accept,7/12/25,Open,47 incidents/month, dataset
ERM-0056,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Operations,Internal Auditor,10/29/25,5,4,20,Extreme,Standard internal controls in place,Moderate,0.5,10,High,Transfer,10/24/25,Open,19 incidents/month, dataset
ERM-0057,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,ICT,Internal Auditor,2/2/26,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Transfer,2/20/26,Open,41 incidents/month, dataset
ERM-0058,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Strategy,Head of ICT,12/23/24,4,4,16,Extreme,Standard internal controls in place,Moderate,0.5,8,Moderate,Accept,9/1/26,Closed,23 incidents/month, dataset
ERM-0059,Process Failure, Risk related to process failure,Operational Risk,Compliance,Head of ICT,3/25/24,1,1,1,Low,Standard internal controls in place,Weak,0.25,0.75,Low,Accept,2/23/25,Mitigated,22 incidents/month, dataset
ERM-0060,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Strategy,Internal Auditor,4/11/24,2,1,2,Low,Standard internal controls in place,Strong,0.75,0.5,Low,Accept,10/16/26,Mitigated,26 incidents/month, dataset
ERM-0061,AML Violation, Risk related to aml violation,Compliance Risk,Finance,Head of ICT,12/27/23,4,4,16,Extreme,Standard internal controls in place,Strong,0.75,4,Low,Avoid,1/15/23,Closed,25 incidents/month, dataset
ERM-0062,Negative Publicity, Risk related to negative publicity,Reputational Risk,Compliance,Operations Manager,7/9/24,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Reduce,6/24/26,Mitigated,25 incidents/month, dataset
ERM-0063,Phishing Attack, Risk related to phishing attack,Cyber Risk,Strategy,Operations Manager,3/27/26,5,1,5,Moderate,Standard internal controls in place,Very Strong,0.9,0.5,Low,Accept,5/1/24,Mitigated,7 incidents/month, dataset
ERM-0064,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Finance,Head of ICT,7/12/25,1,2,2,Low,Standard internal controls in place,Strong,0.75,0.5,Low,Reduce,9/14/26,Open,22 incidents/month, dataset
ERM-0065,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Compliance,Operations Manager,4/7/23,2,3,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Avoid,1/29/23,Mitigated,41 incidents/month, dataset
ERM-0066,Data Breach, Risk related to data breach,Cyber Risk,Finance,Internal Auditor,7/25/25,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Accept,9/30/26,Under Review,18 incidents/month, dataset
ERM-0067,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Operations,Operations Manager,6/12/23,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Avoid,1/16/26,Closed,20 incidents/month, dataset
ERM-0068,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Finance,Compliance Officer,12/3/23,3,4,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Transfer,5/17/23,Open,19 incidents/month, dataset
ERM-0069,Process Failure, Risk related to process failure,Operational Risk,Procurement,Director Finance,9/11/26,3,2,6,Moderate,Standard internal controls in place,Strong,0.75,1.5,Low,Accept,9/15/23,Closed,27 incidents/month, dataset
ERM-0070,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Operations,Compliance Officer,3/19/24,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Reduce,12/31/26,Mitigated,44 incidents/month, dataset
ERM-0071,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Procurement,Compliance Officer,1/25/24,2,5,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Reduce,6/9/25,Closed,31 incidents/month, dataset
ERM-0072,Data Breach, Risk related to data breach,Cyber Risk,Compliance,Head of ICT,10/10/24,2,1,2,Low,Standard internal controls in place,Weak,0.25,1.5,Low,Reduce,11/29/25,Closed,26 incidents/month, dataset
ERM-0073,AML Violation, Risk related to aml violation,Compliance Risk,Operations,Operations Manager,2/13/25,5,5,25,Extreme,Standard internal controls in place,Weak,0.25,18.75,Extreme,Accept,1/28/26,Closed,26 incidents/month, dataset
ERM-0074,Revenue Instability, Risk related to revenue instability,Financial Risk,Operations,Operations Manager,5/11/24,2,5,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Avoid,9/10/23,Open,7 incidents/month, dataset
ERM-0075,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,HR,Director Finance,9/13/25,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Avoid,5/12/25,Closed,42 incidents/month, dataset
ERM-0076,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Compliance,Head of ICT,10/6/24,5,5,25,Extreme,Standard internal controls in place,Weak,0.25,18.75,Extreme,Reduce,6/28/26,Closed,21 incidents/month, dataset
ERM-0077,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,HR,Internal Auditor,3/14/25,4,2,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Avoid,5/10/26,Under Review,10 incidents/month, dataset
ERM-0078,System Hacking, Risk related to system hacking,Cyber Risk,Operations,Operations Manager,2/9/24,1,4,4,Low,Standard internal controls in place,Moderate,0.5,2,Low,Reduce,7/2/25,Mitigated,21 incidents/month, dataset
ERM-0079,Service Failure, Risk related to service failure,Reputational Risk,ICT,HR Manager,6/8/23,1,2,2,Low,Standard internal controls in place,Strong,0.75,0.5,Low,Reduce,3/29/23,Mitigated,18 incidents/month, dataset
ERM-0080,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,HR,Operations Manager,6/12/25,2,2,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Transfer,5/29/24,Mitigated,22 incidents/month, dataset
ERM-0081,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Procurement,HR Manager,6/28/24,5,3,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Accept,8/30/25,Open,4 incidents/month, dataset
ERM-0082,Negative Publicity, Risk related to negative publicity,Reputational Risk,Procurement,Compliance Officer,12/22/24,5,3,15,Extreme,Standard internal controls in place,Very Strong,0.9,1.5,Low,Avoid,2/2/26,Under Review,3 incidents/month, dataset
ERM-0083,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Compliance,HR Manager,12/24/26,2,5,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Accept,3/12/24,Open,31 incidents/month, dataset
ERM-0084,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Compliance,Director Finance,1/24/26,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Transfer,11/26/26,Open,32 incidents/month, dataset
ERM-0085,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Operations,HR Manager,1/17/25,4,5,20,Extreme,Standard internal controls in place,Very Strong,0.9,2,Low,Accept,5/20/26,Under Review,19 incidents/month, dataset
ERM-0086,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,ICT,Operations Manager,4/29/23,4,2,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Avoid,3/1/26,Under Review,28 incidents/month, dataset
ERM-0087,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Compliance,Operations Manager,9/3/24,5,4,20,Extreme,Standard internal controls in place,Weak,0.25,15,Extreme,Transfer,4/3/26,Under Review,49 incidents/month, dataset
ERM-0088,Market Competition, Risk related to market competition,Strategic Risk,ICT,Director Finance,9/16/26,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Transfer,4/30/26,Open,8 incidents/month, dataset
ERM-0089,Process Failure, Risk related to process failure,Operational Risk,Strategy,Compliance Officer,8/24/26,5,4,20,Extreme,Standard internal controls in place,Weak,0.25,15,Extreme,Transfer,12/21/24,Closed,34 incidents/month, dataset
ERM-0090,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,HR,Director Finance,7/23/26,4,2,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Avoid,10/24/24,Open,31 incidents/month, dataset
ERM-0091,Negative Publicity, Risk related to negative publicity,Reputational Risk,Internal Audit,Director Finance,2/21/24,3,2,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Transfer,1/17/26,Open,17 incidents/month, dataset
ERM-0092,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Internal Audit,Compliance Officer,2/18/24,4,2,8,Moderate,Standard internal controls in place,Moderate,0.5,4,Low,Transfer,2/7/23,Closed,36 incidents/month, dataset
ERM-0093,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Procurement,Internal Auditor,8/25/26,1,3,3,Low,Standard internal controls in place,Strong,0.75,0.75,Low,Transfer,1/30/23,Mitigated,25 incidents/month, dataset
ERM-0094,Human Error, Risk related to human error,Operational Risk,Compliance,HR Manager,3/1/26,2,4,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Accept,12/3/25,Mitigated,17 incidents/month, dataset
ERM-0095,Negative Publicity, Risk related to negative publicity,Reputational Risk,Operations,Director Finance,1/12/26,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Avoid,8/18/24,Closed,3 incidents/month, dataset
ERM-0096,Customer Complaints, Risk related to customer complaints,Reputational Risk,Compliance,Head of ICT,6/10/25,5,2,10,High,Standard internal controls in place,Weak,0.25,7.5,Moderate,Accept,10/9/24,Closed,16 incidents/month, dataset
ERM-0097,System Hacking, Risk related to system hacking,Cyber Risk,Finance,Compliance Officer,1/10/23,5,4,20,Extreme,Standard internal controls in place,Moderate,0.5,10,High,Avoid,9/6/23,Mitigated,31 incidents/month, dataset
ERM-0098,System Hacking, Risk related to system hacking,Cyber Risk,Procurement,Head of ICT,8/1/23,3,2,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Avoid,8/26/24,Closed,1 incidents/month, dataset
ERM-0099,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Operations,HR Manager,12/27/26,3,1,3,Low,Standard internal controls in place,Weak,0.25,2.25,Low,Transfer,11/17/24,Under Review,24 incidents/month, dataset
ERM-0100,Service Failure, Risk related to service failure,Reputational Risk,ICT,Operations Manager,3/4/23,3,1,3,Low,Standard internal controls in place,Very Strong,0.9,0.3,Low,Reduce,9/21/24,Under Review,45 incidents/month, dataset
ERM-0101,Customer Complaints, Risk related to customer complaints,Reputational Risk,Operations,Head of ICT,12/5/24,4,2,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Avoid,6/26/25,Open,34 incidents/month, dataset
ERM-0102,Negative Publicity, Risk related to negative publicity,Reputational Risk,HR,Internal Auditor,11/12/25,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Accept,6/8/26,Mitigated,38 incidents/month, dataset
ERM-0103,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Operations,Operations Manager,12/5/24,5,2,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Transfer,9/2/24,Under Review,24 incidents/month, dataset
ERM-0104,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Finance,Head of ICT,12/29/26,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Accept,1/29/23,Closed,14 incidents/month, dataset
ERM-0105,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Compliance,Compliance Officer,5/22/25,3,4,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Avoid,1/31/24,Under Review,3 incidents/month, dataset
ERM-0106,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,HR,Compliance Officer,4/23/25,2,4,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Transfer,1/22/24,Closed,24 incidents/month, dataset
ERM-0107,Phishing Attack, Risk related to phishing attack,Cyber Risk,Operations,Internal Auditor,2/28/25,4,4,16,Extreme,Standard internal controls in place,Very Strong,0.9,1.6,Low,Avoid,11/9/23,Under Review,6 incidents/month, dataset
ERM-0108,System Hacking, Risk related to system hacking,Cyber Risk,Procurement,Head of ICT,9/3/26,1,3,3,Low,Standard internal controls in place,Moderate,0.5,1.5,Low,Transfer,10/7/26,Under Review,36 incidents/month, dataset
ERM-0109,Customer Complaints, Risk related to customer complaints,Reputational Risk,Operations,Director Finance,10/14/25,5,4,20,Extreme,Standard internal controls in place,Moderate,0.5,10,High,Transfer,2/4/25,Open,40 incidents/month, dataset
ERM-0110,Process Failure, Risk related to process failure,Operational Risk,Operations,Compliance Officer,12/16/26,3,4,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Accept,1/7/25,Mitigated,28 incidents/month, dataset
ERM-0111,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Operations,Director Finance,1/4/25,4,4,16,Extreme,Standard internal controls in place,Moderate,0.5,8,Moderate,Avoid,7/26/25,Open,29 incidents/month, dataset
ERM-0112,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,ICT,Compliance Officer,2/3/24,3,4,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Transfer,4/10/25,Under Review,43 incidents/month, dataset
ERM-0113,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Internal Audit,Head of ICT,3/23/23,5,3,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Accept,4/7/26,Under Review,24 incidents/month, dataset
ERM-0114,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Strategy,HR Manager,9/12/23,1,1,1,Low,Standard internal controls in place,Very Strong,0.9,0.1,Low,Reduce,5/27/26,Under Review,40 incidents/month, dataset
ERM-0115,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Procurement,Operations Manager,2/9/26,2,4,8,Moderate,Standard internal controls in place,Moderate,0.5,4,Low,Accept,9/10/24,Under Review,28 incidents/month, dataset
ERM-0116,Phishing Attack, Risk related to phishing attack,Cyber Risk,Strategy,Internal Auditor,10/3/25,3,5,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Reduce,9/2/25,Mitigated,38 incidents/month, dataset
ERM-0117,System Hacking, Risk related to system hacking,Cyber Risk,ICT,Operations Manager,9/30/25,3,1,3,Low,Standard internal controls in place,Strong,0.75,0.75,Low,Reduce,3/22/23,Open,21 incidents/month, dataset
ERM-0118,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Operations,Head of ICT,7/4/24,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Avoid,4/4/25,Under Review,40 incidents/month, dataset
ERM-0119,Revenue Instability, Risk related to revenue instability,Financial Risk,Finance,Operations Manager,10/14/26,4,5,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Transfer,2/5/25,Closed,3 incidents/month, dataset
ERM-0120,Phishing Attack, Risk related to phishing attack,Cyber Risk,Operations,Operations Manager,9/17/25,2,2,4,Low,Standard internal controls in place,Moderate,0.5,2,Low,Transfer,6/16/25,Closed,20 incidents/month, dataset
